,company_name,ceo,founded,size,revenue,industry
0,Imperfect Foods,Philip Behn,2015,"1001 to 5,000",less than $1M (USD),Manufacturing
1,Jellyfish,-1,2005,51 to 200,$5M to $25M (USD),Restaurants & Food Service
2,LONGEVITY PARTNERS,-1,-1,11 to 50,-1,-1
3,"Amazon Web Services, Inc.",-1,-1,-1,-1,Information Technology
4,Schneider Electric,Jean-Pascal Tricoire,-1,"more than 10,000",more than $10B (USD),"Energy, Mining & Utilities"
5,Central Intelligence Agency,David Cohen,1947,"more than 10,000",-1,Government & Public Administration
6,Smith Seckman Reid,-1,1968,"501 to 1,000",$25M to $100M (USD),-1
7,Georgia Tech,-1,1885,"5,001 to 10,000",$1B to $5B (USD),Education
8,Gedeon GRC Consulting,-1,-1,-1,-1,-1
9,California State University,-1,-1,-1,-1,-1
10,"World Wide Technology, Inc.",-1,-1,-1,-1,-1
11,Live Nation,Michael Rapino,2005,"more than 10,000",$5B to $10B (USD),Media & Communication
12,Descartes Labs,-1,2014,11 to 50,less than $1M (USD),-1
13,Morgan Stanley,James Gorman ,1935,"more than 10,000",more than $10B (USD),Financial Services
14,HP,Enrique Lores,1965,"more than 10,000",more than $10B (USD),Manufacturing
15,Luther College,-1,1865,"501 to 1,000",$25M to $100M (USD),Education
16,Strategic Energy Innovations,-1,-1,11 to 50,$1M to $5M (USD),Nonprofit & NGO
17,Los Angeles Pacific University,"John C. Reynolds, Ph.D.",2010,201 to 500,-1,Education
18,"JPMorgan Chase Bank, N.A.",Jamie Dimon,1799,"more than 10,000",more than $10B (USD),Financial Services
19,Luxoft,-1,2000,"more than 10,000",$100M to $500M (USD),Information Technology
20,Amazon.com Services LLC,Jeff Bezos,1994,"more than 10,000",more than $10B (USD),Information Technology
21,AmeriCorps,Barbara Stewart,-1,"1001 to 5,000",-1,Government & Public Administration
22,M&T Bank,Rene Jones,1856,"more than 10,000",$5B to $10B (USD),Financial Services
23,Lucid Motors,Peter Rawlinson,2007,"1001 to 5,000",$5M to $25M (USD),Automotive
24,Underwriters Laboratories Inc.,Jennifer Scanlon,1894,"more than 10,000",$1B to $5B (USD),Security & Protective
25,Société Générale,-1,1864,"more than 10,000",more than $10B (USD),Financial Services
26,Durham County,-1,-1,51 to 200,$1M to $5M (USD),Government & Public Administration
27,The Trium Group,-1,-1,11 to 50,$1M to $5M (USD),-1
28,Netflix,Reed Hastings,1997,"5,001 to 10,000",more than $10B (USD),Media & Communication
29,The Boston Beer Company,Dave Burwick,1984,"1001 to 5,000",-1,Food & Beverage Manufacturing
30,Tesla,Elon Musk,2003,"more than 10,000",$5B to $10B (USD),Manufacturing
31,Jellyfish,-1,2005,51 to 200,$5M to $25M (USD),Restaurants & Food Service
32,Nature's Remedy,-1,-1,-1,-1,-1
33,Daimler,-1,1942,"more than 10,000",more than $10B (USD),Automotive
